category,input_len,output_len,concurrency,runs,vllm_normalized_output_tps_mean,transformers_normalized_output_tps_mean,output_throughput_speedup_x,vllm_p95_ttft_ms_mean,transformers_p95_ttft_ms_mean,p95_ttft_advantage_x,vllm_normalized_mean_tpot_ms,transformers_normalized_mean_tpot_ms,normalized_tpot_advantage_x,vllm_p95_e2el_ms_mean,transformers_p95_e2el_ms_mean,p95_e2el_advantage_x
concurrency,512,128,1,3,76.10762643537203,17.525047219908505,4.342791518924614,53.09318515161673,104.74914858738582,1.9729302035328375,12.853331064067175,56.70306611639934,4.411546379204272,1702.7144394814968,7389.0341478089495,4.339561570910872
concurrency,512,128,2,3,147.34277148994977,17.642033266680208,8.351802156967365,68.66223116715749,7425.244737913211,108.14161747579291,13.2471622131628,56.37069531625963,4.255303468711806,1763.176232452194,14631.095617016157,8.298147030185117
concurrency,512,128,4,3,269.0572076004983,17.625287543093478,15.265408121294975,85.79864129424095,22086.54712749024,257.423040672006,13.869442007360183,56.42220603786115,4.068094881388828,1864.7663448005915,29260.28698931138,15.691127776354374
concurrency,512,128,8,3,469.45937893935275,17.638186400361406,26.616079923598807,112.05723856886227,51214.60533440113,457.0396878281838,14.744111157543077,56.3785898724566,3.8238039085600186,2021.7573101321855,58379.668159907065,28.875705242826655
concurrency,512,128,16,3,698.9439331300381,17.616394536538557,39.675765190223395,169.16399213174978,109300.55937270324,646.1218962459625,18.151345048833083,56.44731289680236,3.109814327530028,2491.337984179457,116461.27085263531,46.746475826319
concurrency,512,128,32,3,923.1245387791306,17.543566910005616,52.618976717479576,271.3204397509495,226570.54836153984,835.0662728156917,24.93014522542165,56.674561760244096,2.2733346014547955,3777.449677387873,233745.55488986275,61.87919756789429
decoding,512,64,1,1,75.2250656347461,17.415734399080016,4.3193737290067915,41.94439649581909,102.54577770829201,2.4448027931100045,12.870377981000477,56.70958069345308,4.406209419581069,865.982535853982,3702.9965855181217,4.276063814458383
decoding,512,256,1,1,76.92304723787016,17.5713844438948,4.377745389584096,45.08054070174694,104.10516113042831,2.309314828745922,12.886049062013626,56.730028638652726,4.402437734455425,3359.9572766572237,14726.798681914806,4.383031529664657
prefill,128,128,1,1,80.42966449436005,17.646829467742187,4.557740224179238,35.07254943251609,78.6738459020853,2.2431744248721777,12.265591091058386,56.49887751171908,4.606290646107284,1616.4481043815613,7310.225336626172,4.52240026562622
prefill,1024,128,1,1,74.68789158172326,17.318601398134767,4.312582169006282,78.3121794462204,181.5353475511074,2.3180985235607423,12.90973467737671,56.77534716101143,4.397870953963581,1732.934358716011,7551.079743355513,4.357395134660703
prefill,2048,128,1,1,72.0887290382228,16.71379843861099,4.313126624268048,133.06945227086544,424.03939478099346,3.186602090447123,12.98124632732136,56.9889989589143,4.390102269222851,1801.5827551484108,7730.598971992731,4.291004090653554
