file,category,input_len,output_len,concurrency,repeat,vllm_completed,transformers_completed,expected_output_tokens,vllm_reported_output_tokens,transformers_reported_output_tokens,vllm_duration_s,transformers_duration_s,vllm_normalized_output_tps,transformers_normalized_output_tps,output_throughput_speedup_x,vllm_request_throughput_rps,transformers_request_throughput_rps,vllm_p95_ttft_ms,transformers_p95_ttft_ms,p95_ttft_advantage_x,vllm_normalized_mean_tpot_ms,transformers_normalized_mean_tpot_ms,normalized_tpot_advantage_x,vllm_p95_e2el_ms,transformers_p95_e2el_ms,p95_e2el_advantage_x
concurrency_in512_out128_c16_r1.json,concurrency,512,128,16,1,50,50,6400,6400,6176,9.157139085233212,365.4561425372958,698.9082442048555,17.512361279703658,39.9094235804095,5.460220657850433,0.13681532249768483,171.44727110862732,110071.01878486574,642.0109114196738,18.17360059130849,56.78468628192511,3.124569949505897,2507.298793643713,117273.42350259423,46.772815350087384
concurrency_in512_out128_c16_r2.json,concurrency,512,128,16,2,50,50,6400,6400,6176,9.154769614338875,362.7199787348509,699.0891381882345,17.644465083844786,39.62087458396901,5.461633892095582,0.1378473834675374,168.73023696243763,109115.98849073052,646.6890016578457,18.172697044733003,56.357694954618694,3.101228992916759,2492.0588977634907,116262.20827624202,46.65307404274516
concurrency_in512_out128_c16_r3.json,concurrency,512,128,16,3,50,50,6400,6400,6176,9.158106476068497,361.7381172552705,698.8344169970243,17.692357246067225,39.499225980888774,5.459643882789252,0.1382215409849002,167.31446832418442,108714.67084251344,649.7625216240747,18.107737510457753,56.199557453863264,3.1036211686527024,2474.6562611311674,115848.18077906966,46.81384748203993
concurrency_in512_out128_c1_r1.json,concurrency,512,128,1,1,50,50,6400,6400,6176,85.1393758058548,366.1373806744814,75.17085883497738,17.47977764032237,4.300447087014033,0.5872723346482608,0.13656076281501853,71.98055572807789,105.74700310826302,1.4691051220519216,12.873967875411191,56.84504858386798,4.4155033734735305,1728.8307964801788,7416.997254267335,4.2901811266712775
concurrency_in512_out128_c1_r2.json,concurrency,512,128,1,2,50,50,6400,6400,6176,83.60806610435247,366.1952642798424,76.54763826270141,17.477014653879277,4.379903534938706,0.5980284239273548,0.13653917698343185,43.852227926254265,104.18417751789093,2.375801240773813,12.842330642807202,56.862402739017966,4.427732342405134,1688.880605250597,7441.5061969310045,4.406176596377475
concurrency_in512_out128_c1_r3.json,concurrency,512,128,1,3,50,50,6400,6400,6176,83.54613424837589,363.2576393634081,76.6043822084373,17.61834936552387,4.347988600926437,0.5984717360034164,0.13764335441815523,43.44677180051803,104.3162651360035,2.401013028423891,12.843694673983132,56.40174702631207,4.391395813897884,1690.4319167137146,7308.598992228508,4.323509820162882
concurrency_in512_out128_c2_r1.json,concurrency,512,128,2,1,50,50,6400,6400,6176,43.17280229181051,363.5735592767596,148.24147751034502,17.60304025609351,8.42135650170029,1.1581365430495705,0.13752375200073055,70.25028690695763,7457.181146368384,106.15161125597939,13.156535982146977,56.4933693702296,4.293939487330814,1750.068061426282,14666.379214450717,8.380462187566474
concurrency_in512_out128_c2_r2.json,concurrency,512,128,2,2,50,50,6400,6400,6176,43.50659501552582,362.43581023812294,147.1041343896503,17.658299260757797,8.330594708889162,1.149251049919143,0.1379554629746703,67.38227754831314,7423.335910961032,110.16748292069076,13.276126837636543,56.32094092491105,4.242271982913465,1764.5986072719097,14631.612068042159,8.291750887564625
concurrency_in512_out128_c2_r3.json,concurrency,512,128,2,3,50,50,6400,6400,6176,43.63159314543009,362.3032465428114,146.68270256985394,17.664760283189313,8.303690523864322,1.145958613826984,0.1380059397124165,68.3541290462017,7395.217156410217,108.18976497252515,13.308823819704882,56.29777565363824,4.230109017619156,1774.86202865839,14595.295568555593,8.223340931795194
concurrency_in512_out128_c32_r1.json,concurrency,512,128,32,1,50,50,6400,6400,6176,6.936412021517754,366.1130681410432,922.6672204803109,17.4809384229203,52.78133233800234,7.208337660002429,0.13656983142906484,264.9651624262333,227121.97753302753,857.1767527976763,24.99923507528981,56.8800618798714,2.275272091668669,3776.7223577946424,234314.28992971778,62.04170381921903
concurrency_in512_out128_c32_r2.json,concurrency,512,128,32,2,50,50,6400,6400,6176,6.905887104570866,365.9720477387309,926.7455292983244,17.48767437170226,52.99421235781591,7.2401994476431595,0.1366224560289239,258.7776195257902,227500.8295841515,879.1364183697439,24.85856872257285,56.854492627729584,2.2871185088022705,3780.294007435441,234676.96656808257,62.07902509870863
concurrency_in512_out128_c32_r3.json,concurrency,512,128,32,3,50,50,6400,6400,6176,6.956817656755447,362.35806453973055,919.9608665587566,17.66208793539429,52.086756102894434,7.187194269990286,0.1379850619952679,290.21853730082506,225088.8379674405,775.5839446400538,24.93263187840229,56.289130773131305,2.25764897374879,3775.3326669335365,232245.40817178786,61.51654136492986
concurrency_in512_out128_c4_r1.json,concurrency,512,128,4,1,50,50,6400,6400,6176,23.706476852297783,364.3151492923498,269.9684157994009,17.56720798580964,15.367747454090297,2.1091282484328193,0.13724381238913783,85.04289947450161,22273.263696208596,261.90621243913233,13.81995343786525,56.60599340369382,4.095961224340976,1862.9897493869066,29447.186433523893,15.806413558214532
concurrency_in512_out128_c4_r2.json,concurrency,512,128,4,2,50,50,6400,6400,6176,23.722372829914093,363.04661006480455,269.78751433876596,17.62859044147964,15.303975393515442,2.107714955771609,0.1377233628240597,87.00607307255268,22030.02437390387,253.2009961595837,13.841001078134447,56.410243099364706,4.075589820484859,1862.7064600586891,29204.58927564323,15.67857840291329
